Data Source,World Development Indicators,
,,
Country Name,Country Code,2013
Aruba,ABW,78.9
Andorra,AND,94
Afghanistan,AFG,5.9
Angola,AGO,19.1
Albania,ALB,60.1
Andean Region,ANR,
Arab World,ARB,36.8686015566291
United Arab Emirates,ARE,88
Argentina,ARG,59.9
Armenia,ARM,46.3
American Samoa,ASM,
Antigua and Barbuda,ATG,63.4
Australia,AUS,83
Austria,AUT,80.6188
Azerbaijan,AZE,58.7
Burundi,BDI,1.3
Belgium,BEL,82.1702
Benin,BEN,4.9
Burkina Faso,BFA,4.4
Bangladesh,BGD,6.5
Bulgaria,BGR,53.0615
Bahrain,BHR,90
"Bahamas, The",BHS,72
Bosnia and Herzegovina,BIH,67.9
Belarus,BLR,54.17
Belize,BLZ,31.7
Bermuda,BMU,95.3
Bolivia,BOL,39.5
Brazil,BRA,51.6
Barbados,BRB,75
Brunei Darussalam,BRN,64.5
Bhutan,BTN,29.9
Botswana,BWA,15
Sub-Saharan Africa (IFC classification),CAA,
Central African Republic,CAF,3.5
Canada,CAN,85.8
East Asia and the Pacific (IFC classification),CEA,
Central Europe and the Baltics,CEB,63.2909720670007
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,86.7
Channel Islands,CHI,
Chile,CHL,66.5
China,CHN,45.8
Cote d'Ivoire,CIV,2.6
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,6.4
"Congo, Rep.",COG,6.6
Colombia,COL,51.7
Comoros,COM,6.5
Cabo Verde,CPV,37.5
Costa Rica,CRI,45.96
South Asia (IFC classification),CSA,
Caribbean small states,CSS,46.1695788260821
Cuba,CUB,25.7089320853472
Curacao,CUW,
Cayman Islands,CYM,74.1
Cyprus,CYP,65.4548
Czech Republic,CZE,74.1104
Germany,DEU,83.9614
Djibouti,DJI,9.5
Dominica,DMA,59
Denmark,DNK,94.6297
Dominican Republic,DOM,45.9
Algeria,DZA,16.5
East Asia & Pacific (developing only),EAP,39.4821762861319
East Asia & Pacific (all income levels),EAS,44.2784956960574
Europe & Central Asia (developing only),ECA,45.9036031901793
Europe & Central Asia (all income levels),ECS,65.3915478274907
Ecuador,ECU,40.3536842279418
"Egypt, Arab Rep.",EGY,49.56
Euro area,EMU,75.8189348573712
Eritrea,ERI,0.9
Spain,ESP,71.5719
Estonia,EST,80.0043
Ethiopia,ETH,1.9
European Union,EUU,75.4976231672564
Fragile and conflict affected situations,FCS,8.92508602408507
Finland,FIN,91.5144
Fiji,FJI,37.1
France,FRA,81.9198
Faeroe Islands,FRO,90
"Micronesia, Fed. Sts.",FSM,27.8
Gabon,GAB,9.2
United Kingdom,GBR,89.8441
Georgia,GEO,43.1
Ghana,GHA,12.3
Guinea,GIN,1.6
"Gambia, The",GMB,14
Guinea-Bissau,GNB,3.1
Equatorial Guinea,GNQ,16.4
Greece,GRC,59.8663
Grenada,GRD,35
Greenland,GRL,65.8
Guatemala,GTM,19.7
Guam,GUM,65.4
Guyana,GUY,33
High income,HIC,78.2051899661893
"Hong Kong SAR, China",HKG,74.2
Honduras,HND,17.8
Heavily indebted poor countries (HIPC),HPC,7.19866737208576
Croatia,HRV,66.7476
Haiti,HTI,10.6
Hungary,HUN,72.6439
Indonesia,IDN,15.82
Isle of Man,IMN,
India,IND,15.1
Not classified,INX,
Ireland,IRL,78.2477
"Iran, Islamic Rep.",IRN,31.4
Iraq,IRQ,9.2
Iceland,ISL,96.5468
Israel,ISR,70.8
Italy,ITA,58.4593
Jamaica,JAM,37.8
Jordan,JOR,44.2
Japan,JPN,86.25
Kazakhstan,KAZ,54
Kenya,KEN,39
Kyrgyz Republic,KGZ,23.4
Cambodia,KHM,6
Kiribati,KIR,11.5
St. Kitts and Nevis,KNA,80
"Korea, Rep.",KOR,84.77
Kosovo,KSV,
Kuwait,KWT,75.46
Latin America & Caribbean (developing only),LAC,45.8126343023013
Lao PDR,LAO,12.5
Lebanon,LBN,70.5
Liberia,LBR,4.6
Libya,LBY,16.5
St. Lucia,LCA,35.2
Latin America & Caribbean (all income levels),LCN,46.7240452082803
Latin America and the Caribbean,LCR,
Least developed countries: UN classification,LDC,6.999504900943
Low income,LIC,7.13159703230275
Liechtenstein,LIE,93.8
Sri Lanka,LKA,21.9
Lower middle income,LMC,21.1950781919459
Low & middle income,LMY,29.109434304118
Lesotho,LSO,5
Lithuania,LTU,68.4529
Luxembourg,LUX,93.7765
Latvia,LVA,75.2344
"Macao SAR, China",MAC,65.8
St. Martin (French part),MAF,
Morocco,MAR,56
Mexico and Central America,MCA,
Monaco,MCO,90.7
Moldova,MDA,48.8
Madagascar,MDG,2.2
Maldives,MDV,44.1
Middle East & North Africa (all income levels),MEA,39.1094756625337
Mexico,MEX,43.46
Marshall Islands,MHL,11.7
Middle income,MIC,32.7389851720048
"Macedonia, FYR",MKD,61.2
